"Code","Name","Cash Buying","Telegraphic Buying","Selling","Time","Date","Source"
"USD","US DOLLAR","24,100.00","24,130.00","24,470.00","23:00","11/11/2023","Vietcombank"
"EUR","EURO","25,253.51","25,508.59","26,640.08","23:00","11/11/2023","Vietcombank"
"GBP","POUND STERLING","28,949.43","29,241.85","30,182.10","23:00","11/11/2023","Vietcombank"
"JPY","YEN","155.99","157.57","165.12","23:00","11/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,067.81","15,220.02","15,709.41","23:00","11/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,413.21","17,589.10","18,154.67","23:00","11/11/2023","Vietcombank"
"THB","THAILAND BAHT","599.93","666.59","692.17","23:00","11/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,167.07","17,340.47","17,898.05","23:00","11/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,222.98","26,487.86","27,339.56","23:00","11/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,032.38","3,063.01","3,161.50","23:00","11/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,263.47","3,296.44","3,402.95","23:00","11/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,412.16","3,543.08","23:00","11/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","290.76","302.41","23:00","11/11/2023","Vietcombank"
"KRW","KOREAN WON","15.94","17.71","19.32","23:00","11/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,444.60","81,586.51","23:00","11/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,094.22","5,205.69","23:00","11/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,123.15","2,213.45","23:00","11/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","250.86","277.73","23:00","11/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,461.40","6,720.19","23:00","11/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,178.95","2,271.62","23:00","11/11/2023","Vietcombank"
"USD","US DOLLAR","24,100.00","24,130.00","24,470.00","23:00","12/11/2023","Vietcombank"
"EUR","EURO","25,253.51","25,508.59","26,640.08","23:00","12/11/2023","Vietcombank"
"GBP","POUND STERLING","28,949.43","29,241.85","30,182.10","23:00","12/11/2023","Vietcombank"
"JPY","YEN","155.99","157.57","165.12","23:00","12/11/2023","Vietcombank"
"AUD","AUSTRALIAN DOLLAR","15,067.81","15,220.02","15,709.41","23:00","12/11/2023","Vietcombank"
"SGD","SINGAPORE DOLLAR","17,413.21","17,589.10","18,154.67","23:00","12/11/2023","Vietcombank"
"THB","THAILAND BAHT","599.93","666.59","692.17","23:00","12/11/2023","Vietcombank"
"CAD","CANADIAN DOLLAR","17,167.07","17,340.47","17,898.05","23:00","12/11/2023","Vietcombank"
"CHF","SWISS FRANC","26,222.98","26,487.86","27,339.56","23:00","12/11/2023","Vietcombank"
"HKD","HONGKONG DOLLAR","3,032.38","3,063.01","3,161.50","23:00","12/11/2023","Vietcombank"
"CNY","YUAN RENMINBI","3,263.47","3,296.44","3,402.95","23:00","12/11/2023","Vietcombank"
"DKK","DANISH KRONE","-","3,412.16","3,543.08","23:00","12/11/2023","Vietcombank"
"INR","INDIAN RUPEE","-","290.76","302.41","23:00","12/11/2023","Vietcombank"
"KRW","KOREAN WON","15.94","17.71","19.32","23:00","12/11/2023","Vietcombank"
"KWD","KUWAITI DINAR","-","78,444.60","81,586.51","23:00","12/11/2023","Vietcombank"
"MYR","MALAYSIAN RINGGIT","-","5,094.22","5,205.69","23:00","12/11/2023","Vietcombank"
"NOK","NORWEGIAN KRONER","-","2,123.15","2,213.45","23:00","12/11/2023","Vietcombank"
"RUB","RUSSIAN RUBLE","-","250.86","277.73","23:00","12/11/2023","Vietcombank"
"SAR","SAUDI RIAL","-","6,461.40","6,720.19","23:00","12/11/2023","Vietcombank"
"SEK","SWEDISH KRONA","-","2,178.95","2,271.62","23:00","12/11/2023","Vietcombank"
